bus_id,voltage,dc,symbol,under_construction,tags,x,y,country,geometry
virtual_relation/14326371:1-225,225,f,Substation,f,relation/14326371,-2.60467725,47.1545463,FR,POINT (-2.60467725 47.1545463)
virtual_relation/14329220:b:1-225,225,f,Substation,f,relation/14329220;way/327505339,2.4779391,48.8860147,FR,POINT (2.4779391 48.8860147)
virtual_relation/14329220:c:1-225,225,f,Substation,f,relation/14329220;way/1076418353,2.5045729,48.8722125,FR,POINT (2.5045729 48.8722125)
virtual_relation/14514424:c:1-380,380,f,Substation,f,relation/14514424,7.74846539,52.28894431,DE,POINT (7.74846539 52.28894431)
virtual_relation/14540337:1-225,225,f,Substation,f,relation/14540337,-0.6642113,46.102221,FR,POINT (-0.6642113 46.102221)
virtual_relation/14540338:1-225,225,f,Substation,f,relation/14540338,-0.142078,46.2138839,FR,POINT (-0.142078 46.2138839)
virtual_relation/14543718:1-220,220,f,Substation,f,relation/14543718,14.0307483,54.7830701,DE,POINT (14.0307483 54.7830701)
virtual_relation/145510:b:1-380,380,f,Substation,f,relation/145510;way/30416990,12.61320012,53.58818422,DE,POINT (12.61320012 53.58818422)
virtual_relation/1636750:0-380,380,f,Substation,f,relation/1636750,12.1304799,54.1408596,DE,POINT (12.1304799 54.1408596)
virtual_relation/16383921:0-220,220,f,Substation,f,relation/16383921;relation/16383922,3.8046376,52.6797576,NL,POINT (3.8046376 52.6797576)
virtual_relation/16383923:0-220,220,f,Substation,f,relation/16383923;relation/16383928,4.2936252,52.6977538,NL,POINT (4.2936252 52.6977538)
virtual_relation/1641702:b:1-380,380,f,Substation,f,relation/14595857;relation/1641702;way/23169665,8.43914966,50.05917248,DE,POINT (8.43914966 50.05917248)
virtual_relation/1641722:1-220,220,f,Substation,f,relation/1641722,8.5426775,50.0960913,DE,POINT (8.5426775 50.0960913)
virtual_relation/16861592:1-225,225,f,Substation,f,relation/16861592;relation/16861593,0.2684528,49.9021898,FR,POINT (0.2684528 49.9021898)
virtual_relation/17457402:b:1-225,225,f,Substation,f,relation/17457402;way/129576242,2.2631318,50.9613002,FR,POINT (2.2631318 50.9613002)
virtual_relation/17493689:1-220,220,f,Substation,f,relation/17493689;relation/17493690,3.7373507,52.6138086,NL,POINT (3.7373507 52.6138086)
virtual_relation/18555112:0-225,225,f,Substation,f,relation/18555112;relation/18555113,-0.4970179,49.4546793,FR,POINT (-0.4970179 49.4546793)
virtual_relation/18799873:a:0-220,220,f,Substation,f,relation/18799873;way/27275258,8.49096373,49.24502648,DE,POINT (8.49096373 49.24502648)
virtual_relation/18799873:b:1-220,220,f,Substation,f,relation/18799873;way/146633582;way/153089326,8.6287573,49.33330975,DE,POINT (8.6287573 49.33330975)
virtual_relation/19455193:a:1-225,225,f,Substation,f,relation/19455193;way/311255821,2.5327823,49.4663266,FR,POINT (2.5327823 49.4663266)
virtual_relation/19874522:0-400,400,f,Substation,f,relation/19874522,1.78363526,50.92039207,FR,POINT (1.78363526 50.92039207)
virtual_relation/19888985:0-225,225,f,Substation,f,relation/19888985,1.1722785,50.1797142,FR,POINT (1.1722785 50.1797142)
virtual_relation/19888985:1-225,225,f,Substation,f,relation/19888985,1.23389642,49.96530785,FR,POINT (1.23389642 49.96530785)
virtual_relation/19893293:0-225,225,f,Substation,f,relation/19893293,-2.5330354,48.8491851,FR,POINT (-2.5330354 48.8491851)
